ticker,start_date,end_date
GHL,2012-12-01,2015-06-01
GLPI,2023-11-01,
GMCR,2012-12-01,2015-06-01
GME,2017-01-01,2021-01-01
GME,2021-09-01,
GMED,2017-01-01,
GMT,2012-12-01,2015-06-01
GMT,2015-07-01,2017-01-01
GNRC,2020-12-01,2021-04-01
GNTX,2012-12-01,2015-06-01
GNTX,2015-07-01,
GNW,2017-01-01,2021-06-01
GO,2021-03-01,2024-07-01
GPK,2023-07-01,
GPN,2012-12-01,2015-06-01
GPN,2015-07-01,2017-01-01
GPOR,2015-06-01,2019-10-01
GPRO,2012-12-01,2013-12-01
GPS,2022-03-01,2024-09-01
GRUB,2019-10-01,2021-07-01
GT,2019-10-01,2026-08-01
GTLS,2022-04-01,2026-08-01
GTM,2025-07-01,2026-04-01
GVA,2012-12-01,2020-11-01
GWR,2013-12-01,2020-09-01
GWR,2020-11-01,2020-12-01
GWRE,2025-02-01,
GWRS,2020-09-01,2020-11-01
GXO,2021-09-01,
GXP,2012-12-01,2018-08-01
H,2023-11-01,
HAE,2018-08-01,
HAIN,2015-06-01,2022-11-01
HALO,2021-03-01,
HANS,2012-12-01,2013-12-01
HBHC,2013-12-01,2018-12-01
HBI,2012-12-01,2015-06-01
HBI,2022-01-01,2023-04-01
HCC,2012-12-01,2017-01-01
HCSG,2018-03-01,2021-10-01
HE,2012-12-01,2023-11-01
HELE,2017-01-01,2024-10-01
HFC,2013-12-01,2018-08-01
HFC,2021-07-01,2022-04-01
HGV,2023-04-01,
HHS,2012-12-01,2013-12-01
HII,2013-12-01,2018-03-01
HIMS,2025-04-01,
HIW,2012-12-01,2023-11-01
HL,2026-02-01,
HLI,2024-01-01,
HLNE,2024-10-01,
HLS,2017-01-01,2018-02-01
HLX,2012-12-01,2017-01-01
HMA,2012-12-01,2015-06-01
HME,2013-12-01,2017-01-01
HMSY,2013-12-01,2017-01-01
HNI,2012-12-01,2021-04-01
HNT,2012-12-01,2017-01-01
HOG,2021-01-01,
HOLX,2012-12-01,2016-12-01
HOMB,2017-07-01,
HPP,2021-01-01,2022-10-01
HPT,2012-12-01,2020-04-01
HPT,2020-11-01,2021-02-01
HQY,2018-11-01,
HR,2017-01-01,
HRB,2021-03-01,
HRC,2012-12-01,2022-01-01
HSC,2012-12-01,2017-01-01
HSH,2013-12-01,2015-06-01
HSIC,2012-12-01,2015-06-01
HSNI,2013-09-01,2018-02-01
HTSI,2013-12-01,2015-06-01
HTZ,2023-04-01,2024-07-01
HUB.B,2015-06-01,2017-01-01
HUBB,2012-12-01,2015-06-01
HUBB,2017-01-01,2023-11-01
HWC,2018-12-01,
HXL,2021-01-01,
HYH,2015-06-01,2018-11-01
IAA,2021-03-01,2023-04-01
IART,2018-08-01,2024-07-01
IBKR,2018-02-01,2019-02-01
IBKR,2019-10-01,2025-10-01
